Gene,DEG
Arhgdig,UP
Ang,UP
Cyp2d22,UP
Enc1,UP
Gm1673,UP
Oas3,UP
Gas2l1,UP
Hopx,UP
Rcan1,UP
Dnase2a,UP
AA414768,UP
Ly6c2,UP
Adam23,UP
Mmd2,UP
Rab20,UP
Clcn7,UP
Pxylp1,UP
Fas,UP
Gda,UP
Mbd1,UP
Map3k6,UP
Svep1,UP
Skap2,UP
Mmp3,UP
Ctss,UP
Lipa,UP
Stac2,UP
Nt5c3,UP
Rab3il1,UP
Mccc1,UP
Bmyc,UP
Tspan17,UP
Ntpcr,UP
Prrg3,UP
Hmgcs2,UP
Tubb3,UP
Tcta,UP
Dpt,UP
Tmem38b,UP
Slc25a45,UP
Serpina3c,UP
Cyp11b1,UP
Birc3,UP
Gm13212,UP
Naprt,UP
Scrn1,UP
Pdp1,UP
Zfp970,UP
Pqlc3,UP
Gas7,UP
Sdsl,UP
Il33,UP
Adora2b,UP
Sh3bp5,UP
Zc3h12a,UP
Adcyap1r1,UP
Lifr,UP
Trim30a,UP
Dnase1l1,UP
Ccl19,UP
Hdc,UP
Atp1b1,UP
Slc10a6,UP
Amy1,UP
Slc45a4,UP
Anxa9,UP
Arrb2,UP
Pycard,UP
Sirpa,UP
Celf2,UP
Folr1,UP
Serpina3m,UP
Calml4,UP
Cpz,UP
Snx10,UP
Jcad,UP
Tmem106a,UP
Tuft1,UP
Rasa4,UP
Ankrd1,UP
Nxnl2,UP
Adamtsl5,UP
Cd24a,UP
Car13,UP
Gbp6,UP
Clca3a1,UP
Vstm4,UP
1500009L16Rik,UP
Agpat4,UP
Ifit2,UP
Cd80,UP
Plaur,UP
Ggct,UP
Cnp,UP
Chst1,UP
Naaa,UP
Tstd3,UP
Il13ra1,UP
Casp8,UP
Nt5e,UP
Trnp1,UP
C1qtnf3,UP
Fxyd6,UP
Mmp24,UP
Mmp12,UP
Sat2,UP
Phf11a,UP
Nqo1,UP
Plk3,UP
Ccl8,UP
Fam46c,UP
Tyrobp,UP
Fbln1,UP
Dpep2,UP
Apobec3,UP
Lyz1,UP
Orai2,UP
B4galnt1,UP
Amhr2,UP
Il6,UP
Stim1,UP
Gpr137b,UP
Slc4a3,UP
Arl4d,UP
Agfg2,UP
Tnfaip8,UP
Rab7b,UP
Slc41a3,UP
Cystm1,UP
Tmem140,UP
Plekhb2,UP
Hacd4,UP
Itgbl1,UP
Mum1l1,UP
Phyhd1,UP
Ntrk1,UP
Fuca2,UP
Rab32,UP
Smox,UP
Cd55,UP
Tnfrsf23,UP
Csf1r,UP
Etv5,UP
Enpp5,UP
Aldh1b1,UP
Lif,UP
Parp14,UP
Gsta2,UP
Fnbp1,UP
Oplah,UP
Alad,UP
Sfrp1,UP
Sema6c,UP
Col4a3,UP
Fam161a,UP
Sectm1a,UP
Cyb561,UP
Lilrb4,UP
Ptgs2,UP
Oas1g,UP
Rnf128,UP
Rspo1,UP
Smpdl3a,UP
Fbxo2,UP
Pkia,UP
Frzb,UP
Ctso,UP
Nuak2,UP
Hdhd3,UP
B3gnt8,UP
Cerk,UP
Pla2g2e,UP
Dpysl2,UP
Cyp4v3,UP
Hpse,UP
Plekha7,UP
Gstk1,UP
Avpr1a,UP
Gucy1a1,UP
Nfkbie,UP
Tapbpl,UP
Npl,UP
Agtr1a,UP
Jak3,UP
Lgi4,UP
Apobec1,UP
Sesn2,UP
Car12,UP
Rnd2,UP
9130008F23Rik,UP
Pdgfrl,UP
Ldhd,UP
Psg16,UP
Csdc2,UP
St6gal1,UP
Gstt3,UP
Tmem29,UP
Lsr,UP
Fcer1g,UP
Nol3,UP
Gpr176,UP
Fbxo17,UP
H2-M3,UP
Eda2r,UP
Tmod1,UP
Susd3,UP
Wfdc17,UP
Adgrg1,UP
Tlr3,UP
Galns,UP
Myoz1,UP
Phf11b,UP
Erich1,UP
Mmp27,UP
Sema4a,UP
Hvcn1,UP
Lamc2,UP
Bbc3,UP
Abhd3,UP
Podn,UP
Kcnk1,UP
Plcb4,UP
Irf5,UP
Acp5,UP
Ctsc,UP
Cdkn2a,UP
Des,UP
Ppl,UP
Tnfsf13,UP
Clec4d,UP
Hdac6,UP
Trib3,UP
Epb41l3,UP
Ltc4s,UP
Cldn11,UP
1110059G10Rik,UP
Abca3,UP
Mcub,UP
Cdc14b,UP
Lilr4b,UP
Fes,UP
Tpd52l1,UP
Camp,UP
Trim24,UP
Pemt,UP
Zfp992,UP
Pf4,UP
Ms4a6d,UP
Folr2,UP
Trank1,UP
Map3k14,UP
Pdk1,UP
Tspan7,UP
Ogdhl,UP
Trim12a,UP
Zmynd15,UP
Nxph3,UP
Gm4951,UP
Trim34a,UP
Kng2,UP
Tmem35b,UP
Trim30d,UP
Aplp1,UP
Gdf15,UP
C7,UP
Prkag3,UP
Tspan8,UP
Slc1a3,UP
Apobr,UP
Prss36,UP
Ism1,UP
5730507C01Rik,UP
Baiap2l1,UP
Tmem41a,UP
Adhfe1,UP
Phyhip,UP
Chrd,UP
1700020A23Rik,UP
Fnip2,UP
Daglb,UP
H2-DMb1,UP
Adam8,UP
Nr1h3,UP
Wnt10a,UP
Il27ra,UP
Ildr2,UP
Nabp1,UP
Fcgr3,UP
Myl6b,UP
Jam2,UP
Aard,UP
Scara3,UP
Anpep,UP
Rnd1,UP
Aldoc,UP
Aldh1a3,UP
Ctnnal1,UP
Il6ra,UP
Syk,UP
C1qa,UP
Sp140,UP
Cd209c,UP
Itih2,UP
Gm7609,UP
Trf,UP
Adam33,UP
Siglecg,UP
Bambi,UP
Cys1,UP
Hfe,UP
Tmco4,UP
Rin3,UP
Ptpn5,UP
Colca2,UP
Tcf23,UP
Rtn4rl2,UP
Gbp5,UP
Ccl9,UP
Slc1a4,UP
Myrf,UP
1700025G04Rik,UP
Fam124a,UP
Loxl4,UP
Cfp,UP
Vstm5,UP
Pcdhga4,UP
Dclk1,UP
H2-DMa,UP
Pla2r1,UP
Clcn2,UP
Atf3,UP
Mpzl2,UP
Alox5ap,UP
Tdrp,UP
C1qc,UP
Irf8,UP
Tmem221,UP
Syngr1,UP
Abi3bp,UP
Hebp2,UP
Sytl1,UP
Gcnt2,UP
C6,UP
Slc15a3,UP
Gpr146,UP
Havcr2,UP
Unc13d,UP
Abcc3,UP
Col22a1,UP
Tyro3,UP
Enpp2,UP
Evi5l,UP
Tnfsf13b,UP
Anxa8,UP
Tlr4,UP
Klk1b1,UP
Prcd,UP
Qpct,UP
Arl5c,UP
Serpinb1b,UP
Tmem255a,UP
Syt13,UP
Ankrd37,UP
Arl4c,UP
Ccl6,UP
Cela1,UP
Cela3b,UP
Tnfaip3,UP
Mia,UP
Cdk18,UP
Ccdc160,UP
Tlr2,UP
Zfp942,UP
Spi1,UP
Klhl29,UP
Adamts15,UP
Bcl2a1b,UP
Abi3,UP
Rgs1,UP
Zfp141,UP
Fjx1,UP
Qprt,UP
Lst1,UP
Pcdhga1,UP
Arhgap45,UP
Rilp,UP
Fbxo27,UP
Gstm7,UP
Gstm6,UP
Zfp947,UP
Pcdhgb2,UP
Ssx2ip,UP
Msr1,UP
Reep6,UP
Kyat3,UP
Ap3m2,UP
Vsir,UP
Gm20939,UP
C1qb,UP
Slc11a1,UP
Ptgir,UP
Ccl3,UP
Tgtp1,UP
9230104L09Rik,UP
Jazf1,UP
Il16,UP
Plek,UP
Msx2,UP
Abca8b,UP
Gpr162,UP
Zfp97,UP
Pxdc1,UP
Il1rn,UP
Cryge,UP
Tnfsfm13,UP
Fcgr2b,UP
Lrrc8e,UP
Mab21l3,UP
Spink4,UP
Defb36,UP
Tmem200b,UP
Myo1a,UP
Iqgap2,UP
H2-T24,UP
Gm4841,UP
Rasl12,UP
Zbtb16,UP
Frmd4b,UP
Wfikkn2,UP
Glipr1,UP
Fkbp1b,UP
Reep2,UP
Cd53,UP
Pmaip1,UP
Gsap,UP
Cmah,UP
Ntn1,UP
Rab40b,UP
Nfatc1,UP
Gm867,UP
Mertk,UP
Garnl3,UP
Hk3,UP
Kif5a,UP
Fetub,UP
AA467197,UP
Mx1,UP
Rragd,UP
Serpinb8,UP
Pcdhgb4,UP
Laptm5,UP
Ceacam19,UP
Fam174b,UP
Spock2,UP
Pstpip1,UP
2210407C18Rik,UP
Pi16,UP
Tmem144,UP
Acaa1b,UP
C3ar1,UP
Dtna,UP
Aoc1,UP
Tnfrsf11b,UP
Immp2l,UP
Pcdhga6,UP
Msi1,UP
Tmeff1,UP
Dmkn,UP
Gsdme,UP
L3mbtl4,UP
Cuzd1,UP
Sgk3,UP
Aqp5,UP
Cd59b,UP
Adora2a,UP
Fam26f,UP
Atp6v0d2,UP
Sybu,UP
Msln,UP
Slco2b1,UP
Cybrd1,UP
Adgrg2,UP
Gm7694,UP
Eda,UP
Lrrn4cl,UP
Apol10b,UP
Cxcr4,UP
A430078G23Rik,UP
P2rx5,UP
Shtn1,UP
Slc41a2,UP
Cldn15,UP
Mmp8,UP
Sox9,UP
Lgi3,UP
Cst12,UP
Sncg,UP
Cilp,UP
Hgf,UP
Klhdc8a,UP
Slc22a18,UP
Pgf,UP
Casp1,UP
Itgb2,UP
Akr1c13,UP
Krt23,UP
Pak1,UP
Glt8d2,UP
Abtb2,UP
Zfp185,UP
Mgll,UP
Hoga1,UP
Map7,UP
Zfp808,UP
Tifa,UP
Klhdc7a,UP
Lcp1,UP
Gatm,UP
Hhipl1,UP
Lpar2,UP
Nkain4,UP
Cd84,UP
Nipal2,UP
Phactr1,UP
Ms4a7,UP
Cep295nl,UP
Apela,UP
Pcdhga7,UP
Gca,UP
Carns1,UP
Psme2b,UP
Pbx4,UP
Wnt2,UP
Sulf1,UP
Arid5a,UP
Dtx1,UP
Itih3,UP
Camkk1,UP
Mafb,UP
Pxmp2,UP
Tmtc4,UP
Batf2,UP
Treml1,UP
9030624G23Rik,UP
Igsf23,UP
Tcf24,UP
Lat2,UP
Ms4a6c,UP
Mlxipl,UP
Bend6,UP
Aqp1,UP
C4a,UP
Ndnf,UP
Fyb2,UP
Myo7a,UP
Reps2,UP
Ppp1r3d,UP
Sept6,UP
Aig1,UP
Slc16a13,UP
Asgr1,UP
Rtn1,UP
Aif1,UP
Sprr1a,UP
Itgb8,UP
Coro1a,UP
Hsd3b6,UP
Zfp982,UP
Slc7a2,UP
Fam241a,UP
Slc7a4,UP
Map7d3,UP
Neurl1a,UP
Fam57b,UP
Pcdhga2,UP
Ttc7,UP
Lmo2,UP
Cdk15,UP
Tlr6,UP
Slc22a4,UP
Tmem154,UP
Wnk4,UP
Cpxm2,UP
Mns1,UP
Pla2g2d,UP
Fxyd3,UP
Cd300c2,UP
Asb12,UP
Scel,UP
Ppfibp2,UP
Sh3tc2,UP
Drp2,UP
Tpbgl,UP
Lrrc75b,UP
Espn,UP
Fam134b,UP
