Gene,DEG
Bmp3,DOWN
Maob,UP
Medag,UP
Pgbd5,DOWN
Sema3b,DOWN
Inha,DOWN
Trf,UP
Crip2,UP
Spon1,UP
Boc,UP
Cd34,UP
Cldn11,UP
Gnai1,UP
2810474O19Rik,UP
Grin2b,DOWN
Ecm2,UP
3110053B16Rik,UP
Slc22a26,UP
H2-Q4,UP
Ppm1m,UP
Clic4,UP
CT030657.2,UP
Gnao1,DOWN
Dok7,DOWN
Socs2,DOWN
Efcab10,UP
Itga8,UP
Gstm6,UP
Lcn2,UP
Hdc,UP
Procr,UP
Cd3e,UP
Acvrl1,UP
Trib1,UP
Plvap,UP
2810429I04Rik,UP
Nrtn,UP
Tob1,UP
Pink1,UP
Fosb,UP
Bcl3,UP
Gstt1,UP
Lsmem1,UP
Fcrls,UP
Sat1,UP
Rrm2,DOWN
Vegfd,UP
Steap4,UP
Ins2,UP
Olfr1033,UP
Dnajb4,UP
Adam33,UP
Zfp125,UP
Hspd1,DOWN
Etd,UP
Emp1,UP
Zfp36,UP
Irs2,UP
1700030C10Rik,UP
Tprgl,UP
Nid1,UP
Ctsh,UP
Gabra3,UP
Alox15,UP
Hmox1,UP
Calml4,UP
Spsb1,DOWN
Pla2g1b,DOWN
Nts,UP
Bnip3,DOWN
Fndc7,UP
Ccl4,UP
Clu,UP
Il15ra,UP
Eloa,UP
Gm13212,UP
Cited2,DOWN
Ly6c1,UP
Gadd45g,UP
Foxp2,DOWN
Upk1a,UP
Vwa5a,UP
Csf3,UP
Atp6v0e2,DOWN
Ccnb1,DOWN
Itpkc,UP
Il4ra,UP
Col6a5,UP
Gldn,DOWN
Idh1,DOWN
Mgl2,UP
Bace2,UP
Bex1,DOWN
Xpa,UP
Dpf3,DOWN
Lgals3bp,UP
H2-Eb1,UP
Nek6,DOWN
Foxo1,DOWN
Abcc9,UP
Mzt2,UP
Slc29a1,UP
Lrg1,UP
Tnfsf9,UP
Gm4956,UP
Gm20760,UP
Mecom,UP
Ppp1r1b,UP
Dnaja1,UP
1110017D15Rik,UP
Gm42851,UP
Il13ra2,DOWN
2600014E21Rik,UP
Aim2,UP
Cops7b,DOWN
Vapa,UP
Sntb2,UP
Tm4sf1,UP
Crispld1,UP
Pcp4,UP
Slamf9,UP
Arhgap24,UP
Ly6e,UP
Gm45396,UP
C2,UP
Cd302,UP
Rnd1,UP
Neat1,UP
Gria4,UP
Dhcr7,DOWN
Col3a1,UP
Spsb4,DOWN
Trdc,UP
Gm17042,UP
Nfkbid,UP
Gm31135,DOWN
Lrrc2,DOWN
Bcl2a1b,UP
Apln,DOWN
Pnlip,UP
Arsa,UP
Clec3b,UP
Apold1,UP
Tspan6,DOWN
Prkag3,UP
Muc1,UP
Pimreg,DOWN
Sfrp1,UP
Midn,UP
Cebpb,UP
S100a8,UP
Prkcd,DOWN
Gm12122,UP
Lepr,UP
Trem2,UP
Cela3b,UP
Gm15543,DOWN
Chst11,DOWN
Lag3,UP
Ccr5,UP
Klf2,UP
Eno1,DOWN
Retreg2,UP
Gm5258,DOWN
Smagp,UP
Scand1,UP
Scarf2,UP
Plpp1,UP
G0s2,UP
Cyp2f2,UP
Tubg1,DOWN
Rnf10,UP
Col1a2,UP
Gstm1,UP
Gm43834,UP
Dnajb1,UP
Slmap,UP
Erf,UP
Cela1,UP
Vmp1,UP
Gm17056,UP
Sbspon,UP
Wee1,UP
H2-Ab1,UP
Gata2,UP
Gpr141,DOWN
Barx2,UP
H2-D1,UP
Zfp445,UP
Ctnna3,UP
Cst9,UP
Cldn4,UP
Gm7666,DOWN
Arhgef28,DOWN
Metrnl,UP
Sphk1,UP
Cdca8,DOWN
Tubb3,UP
Ngf,UP
Gpld1,UP
Egr1,UP
Igfbp5,DOWN
Zfp992,UP
Col14a1,UP
Cenpm,DOWN
Lpl,UP
Ptch2,UP
Krt83,UP
Ccdc80,UP
Atp1a2,UP
Inmt,UP
Col6a2,UP
Nfatc1,UP
Abi3bp,UP
Map4,UP
Hivep3,UP
Insl3,UP
AC127242.1,UP
Sstr1,DOWN
Fem1b,UP
Hmgn2,DOWN
Cntfr,UP
Elf3,UP
Sqstm1,UP
Ftl1-ps1,UP
Ogn,UP
Btg2,UP
Gm16505,UP
Trim24,UP
Rap1b,UP
Cryab,UP
Dppa2,UP
Pxdc1,UP
Gxylt2,UP
Myd88,UP
Bag1,UP
Isg15,UP
Nt5dc3,UP
Ddit4l,DOWN
Esr2,DOWN
Camk2g,DOWN
Adig,UP
Sbk1,DOWN
Gfra4,UP
Osr1,UP
Tns2,UP
Map1b,DOWN
Pnrc1,UP
Hexb,UP
Rgs4,UP
Litaf,UP
Sik1,UP
Igsf23,UP
Acta2,DOWN
Nme4,DOWN
Pdcd1,UP
Rmdn2,DOWN
Nrp1,UP
Dcun1d5,UP
Cdc20,DOWN
Slc30a2,UP
Thrsp,UP
Zfp949,UP
Serinc3,UP
Tex15,DOWN
Cd3g,UP
Sod3,UP
Foxl2,DOWN
Cxcr6,UP
Zc3h12a,UP
Coch,DOWN
Cry2,UP
Trim9,UP
3300002A11Rik,UP
Gm10115,UP
Mknk2,UP
Ptprh,UP
Olfr506,UP
Tspan4,UP
Cdk1,DOWN
Dctpp1,DOWN
Kcne2,DOWN
Anxa8,UP
Epdr1,DOWN
AC159890.1,UP
Adamts2,UP
Sntn,UP
Trdn,UP
Tcrg-C2,UP
Oxtr,DOWN
Robo4,UP
Birc5,DOWN
Hlf,UP
Tcrg-C1,UP
Mroh2a,UP
Plekhf1,UP
Efhd2,UP
Ing2,UP
Krt19,UP
Sparc,UP
Rcan1,UP
Smad7,UP
Akap2,UP
Fbln5,UP
Zfp36l2,UP
Pcolce,UP
Tuft1,UP
Top2a,DOWN
Tnnt2,UP
Col8a2,UP
Enpep,DOWN
Ccdc85a,UP
Ugdh,UP
Plce1,UP
Clca3a1,UP
Sox9,UP
Slc5a4b,DOWN
Serpina3i,UP
Zfp773,UP
Peak1,UP
Prkar2b,DOWN
Fbxw16,UP
Col11a1,DOWN
Vwa1,UP
Csrnp3,DOWN
Gm17971,UP
Ccl19-ps1,UP
Tmem160,UP
Nr4a2,UP
Mxra8,UP
Nxpe5,UP
Il6ra,UP
Plin5,DOWN
Lpar3,UP
Tcf23,UP
Fbn2,DOWN
Cfb,UP
Cks2,DOWN
Csf2,UP
Zfp318,UP
Zfp809,UP
Cebpg,UP
Hist1h2ap,DOWN
Rab33a,DOWN
Rxfp1,UP
Setbp1,UP
Plk3,UP
Nupr1,UP
Mmp19,UP
Cyp2d22,UP
Gm45670,UP
Smarca1,DOWN
Pde10a,UP
Hmga2,DOWN
Racgap1,DOWN
Ihh,DOWN
H6pd,UP
Tnfsf13b,UP
Grem2,DOWN
Fam222a,DOWN
Ang,UP
Spock2,UP
Fas,UP
H2-Aa,UP
Ywhah,UP
Mgarp,DOWN
Cyp4f18,UP
Krt18,UP
Hes1,UP
Tmem141,DOWN
Sult1a1,UP
Polr2m,UP
Cldn7,UP
Zfp948,UP
Gm45184,UP
Nr1h3,UP
Snord13,UP
2610028H24Rik,UP
Slfn5,UP
Cnmd,UP
Ugt3a2,UP
Casp12,UP
Il6st,UP
1700011H14Rik,UP
Tpx2,DOWN
Crtap,UP
Serpina1b,UP
Cys1,UP
Twist2,UP
1700016K19Rik,UP
4833411C07Rik,UP
Knstrn,DOWN
Stk40,UP
Plcb4,UP
Gm43670,UP
Ankrd35,DOWN
Nusap1,DOWN
Pgam1,DOWN
Ank3,DOWN
Ripk1,UP
Aox3,UP
Sulf2,DOWN
Tpsb2,UP
Tmem171,DOWN
Ppp1r2,UP
Lamp2,UP
Pclaf,DOWN
Gm21964,UP
Ahsg,UP
Crabp2,DOWN
Rbp7,UP
Klra7,UP
Nfib,UP
Tiparp,UP
Siglech,DOWN
Fosl1,UP
Dnah5,UP
Pbld1,UP
Per1,UP
Ndufs4,DOWN
Mif,DOWN
Smim10l2a,DOWN
Slc22a14,UP
Slc43a1,UP
Tapbp,UP
Rprd1a,UP
Mrc1,UP
Lactb,UP
Mfap5,UP
Kif1bp,UP
Lrp1,UP
Actn2,UP
Pde12,UP
Abca1,UP
Fkbp6,UP
Gimap6,UP
Ssc5d,UP
Matn2,UP
Ccna2,DOWN
Grp,UP
Pifo,UP
Lrrtm3,UP
Sds,UP
Nop58,UP
Ifi202b,UP
Rab25,UP
Gm4759,UP
Rgs17,UP
Col26a1,DOWN
Rangrf,DOWN
Gm44691,UP
Agr2,UP
Relb,UP
Ikzf3,UP
Col5a1,UP
Ccrl2,UP
Tmbim1,UP
1700018G05Rik,UP
B2m,UP
Cd74,UP
Tmcc3,UP
Mmp12,UP
Aldh3b1,DOWN
Crip1,UP
Col4a5,UP
Tek,UP
Kcnh1,UP
Plekhh3,UP
Sema3g,DOWN
Efcc1,UP
Egr4,UP
Endog,UP
Glul,UP
Tmtc2,DOWN
Junb,UP
Robo2,DOWN
Nudcd2,DOWN
Jsrp1,DOWN
Kcnk1,UP
Plac9a,UP
Tpi1,DOWN
Smarcd2,UP
5330406M23Rik,UP
Egr2,UP
Cstf3,UP
Lrrc32,UP
Asgr1,DOWN
Serpinb9,UP
Rbp1,UP
Ier3,UP
Peg3,UP
Ppfia2,UP
Phf11d,UP
Slc14a1,UP
Tmem248,UP
Rfpl4,DOWN
Tppp3,UP
Tnfrsf4,UP
Glrx5,UP
Snrpf,DOWN
Lgmn,UP
Esyt2,UP
Gsk3a,UP
Atcayos,DOWN
Tpd52l1,DOWN
Icos,UP
Pgk1,DOWN
Cyp26a1,UP
Hsph1,UP
Tox2,DOWN
Ubc,UP
Mmd2,UP
Serpina1d,UP
BC028528,UP
Ghrh,UP
Myc,UP
Cd24a,UP
Crem,UP
Lifr,UP
Slco1a5,UP
Ctla4,UP
Id3,UP
Gja1,DOWN
Glud1,UP
Gpr34,UP
Gm30382,DOWN
Cd40lg,UP
Hspg2,UP
Inhba,DOWN
Actr3b,DOWN
