gene	sex.bias
Ddx3y	Sertoli
Zfp9	granulosa
8030451A03Rik	granulosa
Pon3	granulosa
Aurkb	granulosa
Gm10076	Sertoli
Kif5b	Sertoli
Nkx3-1	Sertoli
Dapp1	Sertoli
Fh1	granulosa
P3h2	granulosa
Tent5d	Sertoli
Acat3	Sertoli
Mdfi	granulosa
Rnf222	Sertoli
Angpt2	granulosa
Ccnb1	granulosa
Tsku	granulosa
Pex11a	Sertoli
Itga3	granulosa
Acvrl1	Sertoli
Khdrbs3	granulosa
Pld2	granulosa
Kif2c	granulosa
Gm4779	Sertoli
Nexn	granulosa
Sh3bgrl2	Sertoli
Eif4e3	granulosa
Kcnk3	granulosa
Mycbp	Sertoli
Gm47163	Sertoli
Fgf13	Sertoli
Cd36	granulosa
Tmem176a	granulosa
Otud1	Sertoli
Hcn2	granulosa
Ephx1	granulosa
Dsp	granulosa
Gas2l3	granulosa
8030474K03Rik	Sertoli
Tcirg1	granulosa
Filip1l	Sertoli
Car14	granulosa
Tmem98	granulosa
Calr4	Sertoli
Gm4912	Sertoli
Fzd9	Sertoli
Dse	granulosa
Eif3k	granulosa
Grasp	granulosa
Rbp1	Sertoli
Cyb561	Sertoli
Abcc3	granulosa
Rpp25	Sertoli
Wnt4	granulosa
Emx2	granulosa
Podxl2	granulosa
Nobox	granulosa
Gstp1	granulosa
H2-T22	granulosa
Pcsk1n	Sertoli
Etd	Sertoli
Doc2b	Sertoli
Bmp15	granulosa
Rnf138rt1	Sertoli
Stbd1	granulosa
Dctd	granulosa
Eif4ebp1	granulosa
Frzb	Sertoli
Plppr3	granulosa
Plk1	granulosa
Lipg	Sertoli
Lrrn2	granulosa
Mgp	granulosa
Fbxo17	Sertoli
Selenow	granulosa
Cdyl2	Sertoli
Cyp17a1	granulosa
Tusc1	Sertoli
Scarna17	granulosa
Perp	granulosa
Fam50a	granulosa
D16Ertd472e	granulosa
Pdgfa	Sertoli
4930581F22Rik	granulosa
Kif22	granulosa
Slc6a15	granulosa
Zfp385a	Sertoli
Mael	Sertoli
Rhbdf1	granulosa
Nags	Sertoli
B3glct	granulosa
Renbp	granulosa
Bcl2l10	granulosa
Tbx22	Sertoli
Tomm7	granulosa
Cplx2	granulosa
Lpcat4	granulosa
Prdm9	Sertoli
Zfp946	Sertoli
Zp2	granulosa
Crispld2	granulosa
Col6a4	granulosa
Khdc1b	granulosa
Ifitm2	granulosa
Gabbr1	granulosa
Agpat2	granulosa
Mfsd13a	Sertoli
Atoh8	granulosa
Maml3	Sertoli
Zp3	granulosa
Il11ra1	granulosa
Gipc3	Sertoli
Tlcd2	granulosa
4921507P07Rik	Sertoli
Zar1	granulosa
Eif2s3y	Sertoli
Tmem25	granulosa
Creb3l3	granulosa
Il17rc	granulosa
Romo1	granulosa
Prss50	Sertoli
Nlrp5	granulosa
Capg	granulosa
Epha1	Sertoli
Ccnjl	Sertoli
Cidea	Sertoli
Nle1	granulosa
Defb42	Sertoli
Slc43a3	granulosa
Fam189b	granulosa
Tnfrsf11b	Sertoli
Cyp19a1	granulosa
Cystm1	Sertoli
Susd4	granulosa
Tex101	Sertoli
Art4	granulosa
Ndufa2	granulosa
2010204K13Rik	Sertoli
Tspyl5	Sertoli
Tmem144	Sertoli
Hexb	granulosa
Zbtb8b	granulosa
Spsb4	granulosa
Dmc1	Sertoli
Ptgis	granulosa
Gpr165	granulosa
Hao2	granulosa
Adam8	granulosa
AA465934	granulosa
Mtfr2	granulosa
Rimkla	granulosa
E130114P18Rik	Sertoli
Omp	Sertoli
Il13ra1	Sertoli
Col1a1	granulosa
Psrc1	granulosa
Snta1	granulosa
AI854703	granulosa
Cxcr4	Sertoli
Nmral1	granulosa
Tmem136	granulosa
Glb1l3	Sertoli
Oog3	granulosa
2410006H16Rik	granulosa
Dnajb13	granulosa
Fam57b	Sertoli
Zfp125	Sertoli
Rfpl4	granulosa
Cpsf4l	granulosa
Dhrs3	granulosa
Slc30a3	granulosa
Plp2	granulosa
Akr1b10	Sertoli
Tbc1d9	Sertoli
Elobl	granulosa
Knstrn	granulosa
Gm5345	Sertoli
Kcng3	Sertoli
Ube2c	granulosa
Smim41	Sertoli
Tspan4	granulosa
Dlgap5	granulosa
Sdhaf3	Sertoli
Zp1	granulosa
Serpinb9	granulosa
Lrrtm3	granulosa
Arhgap10	granulosa
Gm5898	Sertoli
St3gal6	Sertoli
Tagap	Sertoli
Smpdl3a	granulosa
Ndufa9	granulosa
Trim75	granulosa
Atp5e	granulosa
Gdf11	granulosa
Nlrp9b	granulosa
Acp7	Sertoli
Dppa3	granulosa
C77080	granulosa
Padi6	granulosa
Pramel	Sertoli
Eef1a1-ps1	granulosa
Efna1	granulosa
Kctd17	granulosa
Cdkn2d	Sertoli
Gm364	Sertoli
Gucy1a1	granulosa
Gm13023	granulosa
C86187	granulosa
Nlrp4a	granulosa
Hist3h2a	Sertoli
Ankrd13b	granulosa
Gsta2	Sertoli
Cage1	Sertoli
Uba1y	Sertoli
C87977	granulosa
Gulo	granulosa
Nme2	granulosa
Zfp692	granulosa
Stra8	Sertoli
Oas1d	granulosa
Obox5	granulosa
Gm14226	Sertoli
Suox	granulosa
Fam107b	granulosa
Oas1e	granulosa
Ankle1	granulosa
H1foo	granulosa
Obox2	granulosa
Zfp296	granulosa
Rtl4	Sertoli
Cdkn2b	Sertoli
Obox1	granulosa
Sult1a1	Sertoli
Defb36	Sertoli
Gm16270	Sertoli
Slc25a18	Sertoli
Troap	granulosa
Pidd1	granulosa
Btg4	granulosa
Peli2	granulosa
Umodl1	granulosa
Fbxw24	granulosa
Irx5	granulosa
Fetub	granulosa
Relt	granulosa
Sncb	Sertoli
Zpld1	granulosa
Mageb18	Sertoli
Tktl1	Sertoli
Esx1	Sertoli
D1Pas1	Sertoli
Zfp775	granulosa
Itih2	granulosa
Ifitm3	granulosa
Tnfrsf10b	granulosa
Gm13084	granulosa
Acot7	granulosa
Trpc6	granulosa
Nptx2	Sertoli
Gm47528	granulosa
Nlrp4b	granulosa
Hba-a2	granulosa
E330034G19Rik	granulosa
Armcx6	granulosa
Rbmxl2	Sertoli
Thap3	granulosa
Nkx1-2	Sertoli
Cped1	granulosa
Depdc7	granulosa
Kcna6	Sertoli
Gm30292	granulosa
Mrap	granulosa
Ndufs7	granulosa
Eno1b	granulosa
Astl	granulosa
Lrrc4	Sertoli
Itpka	Sertoli
1700011M02Rik	Sertoli
Inca1	Sertoli
Fgf18	Sertoli
Gm10680	granulosa
Gm49041	Sertoli
Hbb-bt	granulosa
Dmrt3	Sertoli
Gm10436	granulosa
Ogn	granulosa
Gm527	Sertoli
Gm43566	Sertoli
Gm15181	granulosa
Wfdc6a	Sertoli
Gm44292	Sertoli
Gm49331	Sertoli
Eya2	granulosa
Oosp1	granulosa
Lyz2	granulosa
Klf17	granulosa
Nudc-ps1	Sertoli
Myl6b	Sertoli
Nlrp2	granulosa
Wif1	Sertoli
E330017A01Rik	granulosa
C87499	granulosa
Blvrb	granulosa
Pcna-ps2	granulosa
Gm1965	granulosa
Gng7	Sertoli
Dpf1	Sertoli
Cpne8	Sertoli
Cdca5	granulosa
Gm12065	granulosa
Qtrt1	granulosa
Cstdc1	Sertoli
Unc93b1	granulosa
1010001N08Rik	granulosa
Epcam	Sertoli
Rtn4rl1	Sertoli
Tceal6	Sertoli
Gm49442	Sertoli
Fbxw18	granulosa
Pcyox1l	granulosa
Micall2	Sertoli
Gm7224	Sertoli
Cfi	Sertoli
Gstt1	granulosa
Oas1h	granulosa
Atp5mpl	granulosa
A4galt	granulosa
Rftn1	granulosa
Nupr1	granulosa
Lrrc10b	granulosa
Gm31759	granulosa
Gm8276	granulosa
Gm13889	granulosa
Gm9347	Sertoli
4933416E14Rik	Sertoli
Taf7l2	Sertoli
Rgs13	granulosa
Hopx	Sertoli
Sdhb	granulosa
Efs	Sertoli
Ccdc122	Sertoli
Rpl15-ps2	granulosa
Gm19412	Sertoli
Rai2	granulosa
Raet1d	granulosa
Rnase1	granulosa
Slc7a7	granulosa
1700013H16Rik	Sertoli
Tagln	granulosa
Reln	granulosa
Asb4	granulosa
Fbxw21	granulosa
Omt2b	granulosa
Uqcr11	granulosa
Hormad1	Sertoli
Ndufa11	granulosa
Gm30505	Sertoli
Wnt5b	granulosa
Mos	granulosa
Accsl	granulosa
Pappa	Sertoli
Aqp5	Sertoli
Cpa1	granulosa
Gm4926	granulosa
Oog2	granulosa
Ifi204	granulosa
Idi1	Sertoli
Rgcc	granulosa
Omt2a	granulosa
Gm40552	Sertoli
Rpl10l	Sertoli
Cd68	granulosa
Smad6	granulosa
Rhox13	Sertoli
Ly6k	Sertoli
Macrod1	granulosa
Fuz	granulosa
Fbxw15	granulosa
Pabpn1l	granulosa
Sord	granulosa
Fbxw14	granulosa
Gm45650	granulosa
Sh3bgr	Sertoli
Tcl1b1	granulosa
Fam151a	granulosa
Lin28a	Sertoli
Fbxw16	granulosa
Fbxw28	granulosa
Gm8210	granulosa
Gm5855	granulosa
Ascc1	granulosa
Gm10819	Sertoli
Leng9	Sertoli
Meig1	Sertoli
Tmem45a	granulosa
Dkkl1	granulosa
M1ap	Sertoli
Trim34b	Sertoli
Kcne2	granulosa
Fbxw26	granulosa
Gm41	Sertoli
Clec2d	granulosa
Efemp1	Sertoli
Cadm4	Sertoli
Zar1l	granulosa
Trim60	granulosa
Prr19	Sertoli
1700018G05Rik	Sertoli
Nme4	granulosa
Mt3	Sertoli
Nradd	granulosa
Tmem221	granulosa
Gm7993	granulosa
Gm371	Sertoli
Foxs1	Sertoli
Wee2	granulosa
Gm8801	granulosa
Dppa5a	granulosa
Sox3	Sertoli
Gm813	granulosa
Zdhhc14	Sertoli
Pramef20	granulosa
Fbxw19	granulosa
Gm10020	granulosa
Slc38a5	granulosa
Cenpm	granulosa
BC023719	granulosa
Fgfbp3	granulosa
Emp3	granulosa
Dynap	granulosa
Gm9112	Sertoli
Cd74	granulosa
Foxl2os	granulosa
1810065E05Rik	granulosa
Gm11868	granulosa
Gm28730	granulosa
Gm2423	Sertoli
Gm9008	granulosa
Layn	granulosa
Gm10705	Sertoli
Gm17097	granulosa
Ogfod3	granulosa
A230065N10Rik	granulosa
Igfbp7	granulosa
Gm8199	granulosa
Gm45670	Sertoli
Gm32391	Sertoli
Gm10060	granulosa
Aip	granulosa
Rn7sk	granulosa
Trap1a	Sertoli
Gm10263	granulosa
Gm4322	granulosa
Top1mt	granulosa
Jsrp1	Sertoli
Apoc3	granulosa
Akr1c13	granulosa
2810468N07Rik	Sertoli
Gm50361	granulosa
Endog	granulosa
2810001G20Rik	Sertoli
AL672038.1	Sertoli
Ninj2	granulosa
Gm7729	granulosa
Gm10297	Sertoli
L3hypdh	granulosa
Gm11361	granulosa
Lhcgr	granulosa
Gm8420	granulosa
Vpreb3	granulosa
S100a6	granulosa
Fmc1	granulosa
Etfb	granulosa
Gm21887	granulosa
Rab38	granulosa
Tsx	Sertoli
Gm7862	granulosa
Tcl1b2	granulosa
Fmr1nb	Sertoli
Pld6	Sertoli
Shisal2a	granulosa
Gstm2-ps1	Sertoli
Cd7	granulosa
Sfn	Sertoli
Arg2	granulosa
Dync2li1	granulosa
Timp1	granulosa
Psmg4	granulosa
H60b	granulosa
Gm11837	Sertoli
Zmat5	granulosa
1700007K13Rik	granulosa
Mterf2	Sertoli
S100a1	granulosa
S100z	Sertoli
Gm11814	granulosa
Gm20721	granulosa
Wfdc1	Sertoli
mt-Tl1	granulosa
Gm13091	Sertoli
Rhox7-ps2	Sertoli
Gm6089	granulosa
Gm36371	Sertoli
Gm25262	granulosa
Gm6665	Sertoli
Gm15445	Sertoli
Gm15906	Sertoli
Gm48882	granulosa
Gm10123	granulosa
Gm6108	granulosa
Hist1h2bg	granulosa
Gm48562	Sertoli
Snord13	granulosa
S100a13	granulosa
Gm12245	granulosa
Gm23289	Sertoli
Rpl34-ps2	granulosa
Gm29233	granulosa
Gm44066	granulosa
Gm10478	Sertoli
Gm12191	granulosa
Gm20305	granulosa
Gm6334	granulosa
Gm11914	Sertoli
2200002J24Rik	Sertoli
Mir196a-1	Sertoli
Mrpl48-ps	Sertoli
Gm8325	Sertoli
Pgbd5	granulosa
Gm27028	Sertoli
Gm10224	granulosa
Gm6055	Sertoli
Rpl23a-ps3	granulosa
Gm8113	granulosa
Gm24494	granulosa
Eif5al3-ps	granulosa
Gm28188	granulosa
Gm6594	granulosa
Rnu11	granulosa
Gm5905	granulosa
Rps15-ps2	granulosa
Gm9800	granulosa
Mir1898	Sertoli
Gm37350	Sertoli
Npm3-ps1	granulosa
Gm3608	Sertoli
Rpl38-ps1	Sertoli
Gm24996	Sertoli
BC002163	granulosa
Hist1h4h	granulosa
Mir703	granulosa
